"Data";"Block";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"clin";"248 x 4";"0.861702127659574";"0.629032258064516";"0.148148148148148";"1";"0.00320229927698771";"0.25";"12345"
"BLCA";"clin";"248 x 4";"0.808510638297872";"0.693548387096774";"0.173913043478261";"2";"0.00308551788330078";"0.25";"12345"
"BLCA";"clin";"248 x 4";"0.776595744680851";"0.725806451612903";"0";"3";"0.00286888281504313";"0.25";"12345"
"BLCA";"clin";"248 x 4";"0.813829787234043";"0.67741935483871";"0.0909090909090909";"4";"0.00311888456344604";"0.25";"12345"
"BLCA";"clin";"248 x 4";"0.845744680851064";"0.596774193548387";"0.193548387096774";"5";"0.00355251630147298";"0.25";"12345"
"BLCA";"mirna";"248 x 207";"1";"0.758064516129032";"0";"1";"0.00525373220443726";"0.25";"12345"
"BLCA";"mirna";"248 x 207";"0.98936170212766";"0.758064516129032";"0";"2";"0.00528708696365356";"0.25";"12345"
"BLCA";"mirna";"248 x 207";"1";"0.774193548387097";"0.125";"3";"0.00643824736277262";"0.25";"12345"
"BLCA";"mirna";"248 x 207";"1";"0.741935483870968";"0";"4";"0.0061543862024943";"0.25";"12345"
"BLCA";"mirna";"248 x 207";"1";"0.758064516129032";"0";"5";"0.00572073459625244";"0.25";"12345"
"BLCA";"mutation";"248 x 4663";"0.936170212765957";"0.693548387096774";"0";"1";"0.0211817502975464";"0.25";"12345"
"BLCA";"mutation";"248 x 4663";"0.914893617021277";"0.741935483870968";"0.272727272727273";"2";"0.0220156629880269";"0.25";"12345"
"BLCA";"mutation";"248 x 4663";"0.936170212765957";"0.67741935483871";"0";"3";"0.0216320633888245";"0.25";"12345"
"BLCA";"mutation";"248 x 4663";"0.920212765957447";"0.709677419354839";"0.307692307692308";"4";"0.0218655824661255";"0.25";"12345"
"BLCA";"mutation";"248 x 4663";"0.904255319148936";"0.758064516129032";"0.117647058823529";"5";"0.0212651173273722";"0.25";"12345"
"BLCA";"cnv";"248 x 14492";"0.978723404255319";"1";"1";"1";"0.0161114494005839";"0.25";"12345"
"BLCA";"cnv";"248 x 14492";"0.98936170212766";"0.919354838709677";"0.857142857142857";"2";"0.0176461180051168";"0.25";"12345"
"BLCA";"cnv";"248 x 14492";"0.978723404255319";"1";"1";"3";"0.0165117502212524";"0.25";"12345"
"BLCA";"cnv";"248 x 14492";"0.984042553191489";"1";"1";"4";"0.0153775850931803";"0.25";"12345"
"BLCA";"cnv";"248 x 14492";"0.978723404255319";"1";"1";"5";"0.0167285680770874";"0.25";"12345"
"BLCA";"rna";"248 x 5771";"1";"0.854838709677419";"0.571428571428572";"1";"0.0146604180335999";"0.25";"12345"
"BLCA";"rna";"248 x 5771";"0.99468085106383";"0.887096774193548";"0.695652173913044";"2";"0.0140433311462402";"0.25";"12345"
"BLCA";"rna";"248 x 5771";"1";"0.82258064516129";"0.421052631578947";"3";"0.0148272156715393";"0.25";"12345"
"BLCA";"rna";"248 x 5771";"1";"0.854838709677419";"0.571428571428572";"4";"0.0139432668685913";"0.25";"12345"
"BLCA";"rna";"248 x 5771";"1";"0.854838709677419";"0.571428571428572";"5";"0.0148772676785787";"0.25";"12345"
"COAD";"clin";"280 x 5";"0.582191780821918";"0.471428571428571";"0.430769230769231";"1";"0.00401949882507324";"0.25";"12345"
"COAD";"clin";"280 x 5";"0.582191780821918";"0.5";"0.492753623188406";"2";"0.00415293375651042";"0.25";"12345"
"COAD";"clin";"280 x 5";"0.605442176870748";"0.542857142857143";"0.542857142857143";"3";"0.0041363000869751";"0.25";"12345"
"COAD";"clin";"279 x 5";"0.513698630136986";"0.619718309859155";"0.557377049180328";"4";"0.00410296519597371";"0.25";"12345"
"COAD";"clin";"281 x 5";"0.578231292517007";"0.405797101449275";"0.369230769230769";"5";"0.00336906512578328";"0.25";"12345"
"COAD";"mirna";"280 x 201";"0.561643835616438";"0.528571428571429";"0.421052631578947";"1";"0.0073218822479248";"0.25";"12345"
"COAD";"mirna";"280 x 201";"0.547945205479452";"0.471428571428571";"0.430769230769231";"2";"0.00827268362045288";"0.25";"12345"
"COAD";"mirna";"280 x 201";"0.63265306122449";"0.457142857142857";"0.387096774193548";"3";"0.00702164967854818";"0.25";"12345"
