"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 23666";"1";"0.758064516129032";"0";"1";"0.0288036187489827";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"BLCA";"248 x 23666";"1";"0.774193548387097";"0.125";"2";"0.0351914008458455";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"BLCA";"248 x 23666";"1";"0.758064516129032";"0";"3";"0.0332403977711995";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"BLCA";"248 x 23666";"1";"0.774193548387097";"0.125";"4";"0.0338407834370931";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"BLCA";"248 x 23666";"1";"0.758064516129032";"0";"5";"0.0280694325764974";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"280 x 24650";"0.979452054794521";"1";"1";"1";"0.032172950108846";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"280 x 24650";"0.993150684931507";"0.985714285714286";"0.984615384615385";"2";"0.0340908010800679";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"281 x 24650";"0.959183673469388";"0.985507246376812";"0.985074626865672";"3";"0.0337070186932882";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"279 x 24650";"0.965753424657534";"0.957746478873239";"0.953846153846154";"4";"0.033356765906016";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"280 x 24650";"0.986394557823129";"0.985714285714286";"0.985507246376812";"5";"0.0335069179534912";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"97 x 20478";"1";"0.833333333333333";"0";"1";"0.0143434127171834";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"97 x 20478";"1";"0.833333333333333";"0";"2";"0.0137764016787211";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"96 x 20478";"1";"0.84";"0";"3";"0.015194296836853";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"97 x 20478";"1";"0.833333333333333";"0";"4";"0.0143100659052531";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"97 x 20478";"1";"0.833333333333333";"0";"5";"0.01462695201238";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"330 x 22591";"1";"0.864197530864197";"0.645161290322581";"1";"0.0330399672190348";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"329 x 22591";"1";"0.817073170731707";"0.444444444444444";"2";"0.0333234151204427";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"329 x 22591";"1";"0.841463414634146";"0.580645161290323";"3";"0.0379767020543416";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"328 x 22591";"1";"0.795180722891566";"0.37037037037037";"4";"0.0381268342336019";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"328 x 22591";"1";"0.819277108433735";"0.482758620689655";"5";"0.0347744663556417";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRC";"258 x 16919";"1";"0.90625";"0.842105263157895";"1";"0.027286163965861";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRC";"258 x 16919";"1";"0.9375";"0.9";"2";"0.0222823182741801";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRC";"258 x 16919";"1";"0.90625";"0.842105263157895";"3";"0.0229661504427592";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRC";"257 x 16919";"1";"0.969230769230769";"0.954545454545454";"4";"0.0234003861745199";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRC";"257 x 16919";"1";"0.861538461538462";"0.756756756756757";"5";"0.0230158527692159";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRP";"200 x 17811";"0.986111111111111";"0.857142857142857";"0.666666666666667";"1";"0.0202809492746989";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRP";"199 x 17811";"0.993055555555556";"0.82";"0.526315789473684";"2";"0.0202475508054097";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRP";"199 x 17811";"0.986111111111111";"0.9";"0.782608695652174";"3";"0.0198806484540304";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRP";"199 x 17811";"0.965277777777778";"0.8";"0.444444444444444";"4";"0.0196974992752075";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"KIRP";"199 x 17811";"1";"0.94";"0.88";"5";"0.0192138314247131";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LIHC";"239 x 20578";"1";"0.898305084745763";"0.8";"1";"0.0259018500645955";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LIHC";"238 x 20578";"1";"0.833333333333333";"0.642857142857143";"2";"0.0294036865234375";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LIHC";"239 x 20578";"1";"0.830508474576271";"0.666666666666667";"3";"0.028620449701945";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LIHC";"238 x 20578";"1";"0.866666666666667";"0.733333333333333";"4";"0.0345576484998067";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LIHC";"238 x 20578";"0.993865030674847";"0.733333333333333";"0.333333333333333";"5";"0.0248177488644918";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LGG";"363 x 18107";"0.96969696969697";"0.989010989010989";"0.987951807228916";"1";"0.0343908667564392";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LGG";"363 x 18107";"0.97979797979798";"0.978021978021978";"0.976190476190476";"2";"0.0293869972229004";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LGG";"363 x 18107";"0.974747474747475";"0.989010989010989";"0.987951807228916";"3";"0.030371634165446";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LGG";"363 x 18107";"0.989949748743719";"1";"1";"4";"0.0302712996800741";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LGG";"364 x 18107";"0.994974874371859";"1";"1";"5";"0.0317893346150716";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUAD";"340 x 24048";"0.891025641025641";"0.952380952380952";"0.956521739130435";"1";"0.0378766179084778";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUAD";"339 x 24048";"0.896774193548387";"0.905882352941176";"0.914893617021277";"2";"0.0406285325686137";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUAD";"339 x 24048";"0.935483870967742";"0.976470588235294";"0.978723404255319";"3";"0.0445313016573588";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUAD";"339 x 24048";"0.87741935483871";"0.952941176470588";"0.958333333333333";"4";"0.0390777667363485";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUAD";"339 x 24048";"0.903225806451613";"0.964705882352941";"0.967741935483871";"5";"0.0376429677009582";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUSC";"293 x 23988";"1";"0.819444444444444";"0.48";"1";"0.0335572163263957";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUSC";"292 x 23988";"1";"0.794520547945205";"0.347826086956522";"2";"0.0336233337720235";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUSC";"293 x 23988";"1";"0.819444444444444";"0.48";"3";"0.0327730814615885";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUSC";"291 x 23988";"1";"0.810810810810811";"0.461538461538462";"4";"0.0331733187039693";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"LUSC";"291 x 23988";"0.995327102803738";"0.824324324324324";"0.518518518518518";"5";"0.0319555004437765";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"PAAD";"114 x 17575";"0.924242424242424";"0.821428571428571";"0.761904761904762";"1";"0.0144438028335571";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"PAAD";"113 x 17575";"0.907692307692308";"0.862068965517241";"0.818181818181818";"2";"0.0141936659812927";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"PAAD";"114 x 17575";"0.939393939393939";"0.857142857142857";"0.833333333333333";"3";"0.014359966913859";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"PAAD";"113 x 17575";"0.953846153846154";"0.862068965517241";"0.8";"4";"0.013725999991099";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"PAAD";"114 x 17575";"0.96969696969697";"0.857142857142857";"0.8";"5";"0.0132926980654399";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SARC";"148 x 17409";"0.705882352941177";"0.771428571428571";"0.8";"1";"0.0166950503985087";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SARC";"146 x 17409";"0.686567164179104";"0.837837837837838";"0.863636363636364";"2";"0.0171290159225464";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SARC";"146 x 17409";"0.701492537313433";"0.810810810810811";"0.844444444444444";"3";"0.0172121008237203";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SARC";"146 x 17409";"0.671641791044776";"0.810810810810811";"0.837209302325581";"4";"0.0237500349680583";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SARC";"146 x 17409";"0.656716417910448";"0.837837837837838";"0.842105263157895";"5";"0.0162617365519206";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SKCM";"211 x 24557";"0.976377952755906";"0.830188679245283";"0.727272727272727";"1";"0.0295040329297384";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SKCM";"212 x 24557";"0.9765625";"0.923076923076923";"0.894736842105263";"2";"0.0280030171076457";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SKCM";"211 x 24557";"0.976377952755906";"0.830188679245283";"0.756756756756757";"3";"0.0277527809143066";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SKCM";"211 x 24557";"0.960629921259842";"0.867924528301887";"0.810810810810811";"4";"0.027836533387502";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"SKCM";"211 x 24557";"0.976377952755906";"0.867924528301887";"0.8";"5";"0.0269860029220581";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"STAD";"227 x 24563";"0.992805755395683";"0.771929824561403";"0.580645161290323";"1";"0.0301214655240377";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"STAD";"227 x 24563";"0.992805755395683";"0.771929824561403";"0.580645161290323";"2";"0.0285867651303609";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"STAD";"227 x 24563";"0.97841726618705";"0.754385964912281";"0.533333333333333";"3";"0.0289369980494181";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"STAD";"227 x 24563";"0.971223021582734";"0.824561403508772";"0.722222222222222";"4";"0.0303880333900452";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
"STAD";"228 x 24563";"0.985714285714286";"0.839285714285714";"0.756756756756757";"5";"0.0300878524780273";"clin_1__cnv_0.0125__rna_0.15__mirna_1__mutation_1";"12345"
