id	filename	md5	size	state
18a7a30e-208f-4860-847a-2ce3ad7dcaf4	18a7a30e-208f-4860-847a-2ce3ad7dcaf4/c5047f59-c194-4cb9-9538-9d06d0946d64.htseq.counts.gz	627aec8a909afcca225013842c3c29f2	244639	validated
19b691c1-7649-4d3d-a2d0-1f1c3c4838bb	19b691c1-7649-4d3d-a2d0-1f1c3c4838bb/27d5e9a3-b7b0-40b3-9f53-a074bef5628b.htseq.counts.gz	d60c94df155d69a9b53b5ff11299f05d	253318	validated
2ab52c4f-661c-4039-bc1d-2498dbdd533a	2ab52c4f-661c-4039-bc1d-2498dbdd533a/fce06ccd-9703-402e-90ed-05a73b2a2511.htseq.counts.gz	19d910e9244748fdc668a7c6324c0b9a	254776	validated
34a63e13-20be-4270-b85b-74106538e431	34a63e13-20be-4270-b85b-74106538e431/f86397e1-1ae1-4868-8999-3b9f9b74b80d.htseq.counts.gz	74316525bb997b8e9ec7c05fe1780fee	241968	validated
56630b4d-5a25-4394-b540-de3b6646cc1d	56630b4d-5a25-4394-b540-de3b6646cc1d/74fa890a-d4e6-4718-959a-2b2c125c892e.htseq.counts.gz	6bdcd54dbc2ef57d31c5be005911a7e1	247778	validated
598d4823-3260-4f9c-b44e-aad9314fbe5f	598d4823-3260-4f9c-b44e-aad9314fbe5f/a8b4c5de-a026-4f9a-a9d5-e9d6748ade5e.htseq.counts.gz	9230575438d1da0a5e6dd1164d846e62	248393	validated
60dcbfe0-4c86-4d27-93fc-e5bbeb95a20e	60dcbfe0-4c86-4d27-93fc-e5bbeb95a20e/15941f8a-9656-4fb5-95fa-70697a849f31.htseq.counts.gz	73e668e7a72378262714b66ba6f6fdf1	250240	validated
6d03f7c8-d6f1-4b78-86ca-d7946a89a867	6d03f7c8-d6f1-4b78-86ca-d7946a89a867/19f094bc-108c-46d0-bc32-0c9e10681272.htseq.counts.gz	21aecd13c3ff919f7e986678791f5999	253159	validated
7369279c-64f2-4d03-ab35-04f57b52edd0	7369279c-64f2-4d03-ab35-04f57b52edd0/61e4e0fd-6eaa-418e-9579-5aa967110708.htseq.counts.gz	439045a4913c046c3aab217bf307dc6a	255134	validated
7cadc05b-1671-4a21-8b3e-d69007d1c854	7cadc05b-1671-4a21-8b3e-d69007d1c854/a71e7122-02c6-4f90-b1ad-b651fa1f06a8.htseq.counts.gz	8b0df3c7aa71555723e3398a84b15fe1	248440	validated
7e5e2925-ab20-499c-9652-f1f8a3d1b88a	7e5e2925-ab20-499c-9652-f1f8a3d1b88a/2aa0ae87-9b93-4901-89aa-7cd45583cb3a.htseq.counts.gz	3dfd95c5e07898d3a35738108bb20ff7	245334	validated
81a46592-ba62-4136-ba24-cbd757f4fd7e	81a46592-ba62-4136-ba24-cbd757f4fd7e/676e6ddd-baba-4537-9af5-326f8e715998.htseq.counts.gz	d9f93d7f81ba69ddccab9fbd7e4938e5	246431	validated
8a8fee5e-64f3-4033-ac21-3b06e80fe100	8a8fee5e-64f3-4033-ac21-3b06e80fe100/1e87b17f-db23-400f-96f0-608bc7d98009.htseq.counts.gz	116cdb570794b51d83e69de208b40e03	247549	validated
a497ffb2-e022-4769-9049-88cc659e31b3	a497ffb2-e022-4769-9049-88cc659e31b3/be81ed72-5acd-400e-b500-52e5151b957d.htseq.counts.gz	3d493385886970d7700ce9a2d03d73ae	247057	validated
b0277d63-ee4b-4463-9b21-34543584fc34	b0277d63-ee4b-4463-9b21-34543584fc34/83db4be1-0adb-49ff-826d-190b6968a82e.htseq.counts.gz	cd5f825f3ac73b8fa4ebd7ad740ef039	261133	validated
c734a79c-3976-4153-a2b0-6b9cfd96e328	c734a79c-3976-4153-a2b0-6b9cfd96e328/b9e40f63-6533-4259-8b54-05639aea4a2d.htseq.counts.gz	c28eecf9667bac7cdb56066b4216294d	251041	validated
d1c00d17-e7c3-4bfb-8dbc-e19028e9a6a9	d1c00d17-e7c3-4bfb-8dbc-e19028e9a6a9/ec17798a-03bc-4db8-87a6-0f17ab3849a9.htseq.counts.gz	4bcfe742589805af5acdc0a9819c16f5	250991	validated
daba1079-76e1-4b2d-b572-13c0efd5c5cc	daba1079-76e1-4b2d-b572-13c0efd5c5cc/17a1bd88-a4c7-446f-8097-3a5142d0f5b9.htseq.counts.gz	ad2899f3309579da82477a18c6d5c6c0	252524	validated
dd33589c-d157-4249-b8d5-b780f255e344	dd33589c-d157-4249-b8d5-b780f255e344/18c4e21e-2f12-4d7f-a0d7-85d812eccce6.htseq.counts.gz	23ef87b093d579c0443a21a10969646c	245618	validated
f3e97d7c-6f7c-41ab-8983-01fb9ba3195a	f3e97d7c-6f7c-41ab-8983-01fb9ba3195a/7b0bb368-7e9c-4638-9ecc-d1a00ca64ae7.htseq.counts.gz	d773caed71df326492c148a65af359ae	249467	validated
