"Data";"fold";"Dim";"OOB_Acc";"Test_Acc";"Test_F1";"Time"
"PAAD_subset.RData";"1";"114 x 7848";"0.964912280701754";"0.964285714285714";"0.96";"0.00733856360117594"
"PAAD_subset.RData";"2";"113 x 7848";"0.973451327433628";"0.96551724137931";"0.96";"0.00728821754455566"
"PAAD_subset.RData";"3";"114 x 7848";"0.964912280701754";"0.964285714285714";"0.96";"0.00805576642354329"
"PAAD_subset.RData";"4";"113 x 7848";"0.973451327433628";"1";"1";"0.00735526482264201"
"PAAD_subset.RData";"5";"114 x 7848";"0.973684210526316";"0.964285714285714";"0.96";"0.00777253309885661"
"SARC_subset.RData";"1";"148 x 7963";"0.97972972972973";"0.971428571428571";"0.974358974358974";"0.00977361599604289"
"SARC_subset.RData";"2";"146 x 7963";"0.972602739726027";"0.945945945945946";"0.952380952380952";"0.0107243180274963"
"SARC_subset.RData";"3";"146 x 7963";"0.979452054794521";"1";"1";"0.0100571672121684"
"SARC_subset.RData";"4";"146 x 7963";"0.958904109589041";"0.918918918918919";"0.930232558139535";"0.0101902325948079"
"SARC_subset.RData";"5";"146 x 7963";"0.979452054794521";"1";"1";"0.0102402806282043"
"SKCM_subset.RData";"1";"211 x 8690";"0.971563981042654";"0.981132075471698";"0.976744186046512";"0.0124588330586751"
"SKCM_subset.RData";"2";"212 x 8690";"0.971698113207547";"0.980769230769231";"0.976744186046512";"0.0130759994188944"
"SKCM_subset.RData";"3";"211 x 8690";"0.966824644549763";"0.981132075471698";"0.976744186046512";"0.0160778164863586"
"SKCM_subset.RData";"4";"211 x 8690";"0.966824644549763";"0.943396226415094";"0.933333333333333";"0.0123257676760356"
"SKCM_subset.RData";"5";"211 x 8690";"0.966824644549763";"1";"1";"0.0126756985982259"
"STAD_subset.RData";"1";"227 x 9116";"0.986784140969163";"1";"1";"0.0145940661430359"
"STAD_subset.RData";"2";"227 x 9116";"0.982378854625551";"0.982456140350877";"0.977777777777778";"0.0132594664891561"
"STAD_subset.RData";"3";"227 x 9116";"0.977973568281938";"0.964912280701754";"0.956521739130435";"0.0175125002861023"
"STAD_subset.RData";"4";"227 x 9116";"0.977973568281938";"0.964912280701754";"0.956521739130435";"0.0150106509526571"
"STAD_subset.RData";"5";"228 x 9116";"0.978070175438597";"0.982142857142857";"0.977777777777778";"0.013909900188446"
