"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 37515";"1";"0.790322580645161";"0.235294117647059";"1";"0.0470165530840556";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"BLCA";"248 x 37515";"1";"0.935483870967742";"0.846153846153846";"2";"0.0444312651952108";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"BLCA";"248 x 37515";"1";"0.854838709677419";"0.571428571428572";"3";"0.0444145639737447";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"BLCA";"248 x 37515";"1";"0.854838709677419";"0.571428571428572";"4";"0.041796068350474";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"BLCA";"248 x 37515";"1";"0.790322580645161";"0.235294117647059";"5";"0.0479670683542887";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"280 x 37976";"0.993150684931507";"0.957142857142857";"0.953846153846154";"1";"0.0538041989008586";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"280 x 37976";"0.979452054794521";"1";"1";"2";"0.0504020969072978";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"281 x 37976";"1";"1";"1";"3";"0.0513360977172852";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"279 x 37976";"1";"0.985915492957746";"0.985074626865672";"4";"0.0545716524124146";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"280 x 37976";"0.979591836734694";"1";"1";"5";"0.0536877314249674";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"ESCA";"97 x 35774";"1";"0.833333333333333";"0";"1";"0.0238167842229207";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
"ESCA";"97 x 35774";"1";"0.833333333333333";"0";"2";"0.0251010139783223";"clin_1__cnv_0.0125__rna_0.75__mirna_1__mutation_1";"12345"
