"Data";"Block";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"clin";"248 x 4";"0.824468085106383";"0.709677419354839";"0.25";"1";"0.00326896508534749";"0.1";"12345"
"BLCA";"clin";"248 x 4";"0.792553191489362";"0.67741935483871";"0.166666666666667";"2";"0.00305214722951253";"0.1";"12345"
"BLCA";"clin";"248 x 4";"0.803191489361702";"0.596774193548387";"0.0740740740740741";"3";"0.00333566665649414";"0.1";"12345"
"BLCA";"clin";"248 x 4";"0.840425531914894";"0.693548387096774";"0.344827586206897";"4";"0.00316891670227051";"0.1";"12345"
"BLCA";"clin";"248 x 4";"0.771276595744681";"0.725806451612903";"0.19047619047619";"5";"0.00298540194829305";"0.1";"12345"
"BLCA";"mirna";"248 x 83";"0.99468085106383";"0.741935483870968";"0";"1";"0.00405283371607463";"0.1";"12345"
"BLCA";"mirna";"248 x 83";"0.98936170212766";"0.758064516129032";"0";"2";"0.0044197678565979";"0.1";"12345"
"BLCA";"mirna";"248 x 83";"0.98936170212766";"0.774193548387097";"0.125";"3";"0.0044698158899943";"0.1";"12345"
"BLCA";"mirna";"248 x 83";"0.99468085106383";"0.774193548387097";"0.125";"4";"0.0040028174718221";"0.1";"12345"
"BLCA";"mirna";"248 x 83";"0.99468085106383";"0.774193548387097";"0.125";"5";"0.00435341596603394";"0.1";"12345"
"BLCA";"mutation";"248 x 1866";"0.914893617021277";"0.790322580645161";"0.380952380952381";"1";"0.0182965318361918";"0.1";"12345"
"BLCA";"mutation";"248 x 1866";"0.898936170212766";"0.790322580645161";"0.380952380952381";"2";"0.0135758996009827";"0.1";"12345"
"BLCA";"mutation";"248 x 1866";"0.909574468085106";"0.758064516129032";"0.285714285714286";"3";"0.0140598853429159";"0.1";"12345"
"BLCA";"mutation";"248 x 1866";"0.909574468085106";"0.67741935483871";"0";"4";"0.0128256638844808";"0.1";"12345"
"BLCA";"mutation";"248 x 1866";"0.936170212765957";"0.629032258064516";"0";"5";"0.0135928869247437";"0.1";"12345"
"BLCA";"cnv";"248 x 5797";"0.984042553191489";"1";"1";"1";"0.00919013420740763";"0.1";"12345"
"BLCA";"cnv";"248 x 5797";"0.973404255319149";"1";"1";"2";"0.00908954938252767";"0.1";"12345"
"BLCA";"cnv";"248 x 5797";"0.984042553191489";"0.983870967741935";"0.967741935483871";"3";"0.00950666666030884";"0.1";"12345"
