"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 18527";"1";"0.838709677419355";"0.5";"1";"0.0274192651112874";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 18527";"1";"0.903225806451613";"0.75";"2";"0.0280527313550313";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 18527";"1";"0.870967741935484";"0.636363636363636";"3";"0.0308386484781901";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 18527";"1";"0.903225806451613";"0.75";"4";"0.0286702354749044";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 18527";"1";"0.887096774193548";"0.695652173913044";"5";"0.0284202694892883";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 17903";"0.993150684931507";"0.971428571428571";"0.96875";"1";"0.0323223988215129";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 17903";"0.993150684931507";"1";"1";"2";"0.032606581846873";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"281 x 17903";"0.993197278911565";"1";"1";"3";"0.032723335425059";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"279 x 17903";"1";"1";"1";"4";"0.0311888694763184";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 17903";"0.993197278911565";"1";"1";"5";"0.0332067012786865";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 20247";"1";"0.833333333333333";"0";"1";"0.0202807664871216";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 20247";"1";"0.875";"0.4";"2";"0.0160946687062581";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"96 x 20247";"1";"0.84";"0";"3";"0.0154608488082886";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 20247";"1";"0.833333333333333";"0";"4";"0.0162111004193624";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 20247";"1";"0.875";"0.4";"5";"0.0164448976516724";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"330 x 17336";"1";"0.962962962962963";"0.923076923076923";"1";"0.0379770358403524";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 17336";"1";"0.963414634146341";"0.923076923076923";"2";"0.0347577651341756";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 17336";"1";"0.939024390243902";"0.871794871794872";"3";"0.0337403813997904";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 17336";"1";"0.939759036144578";"0.871794871794872";"4";"0.03897705078125";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 17336";"1";"0.951807228915663";"0.9";"5";"0.0338738163312276";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 18278";"0.994047619047619";"0.984375";"0.976744186046512";"1";"0.028703780968984";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 18278";"1";"0.984375";"0.977777777777778";"2";"0.0318220853805542";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 18278";"0.994047619047619";"0.984375";"0.976744186046512";"3";"0.0289703488349915";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 18278";"0.994047619047619";"1";"1";"4";"0.0285200516382853";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 18278";"0.994047619047619";"0.984615384615385";"0.977777777777778";"5";"0.0289867321650187";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"200 x 25428";"1";"0.938775510204082";"0.88";"1";"0.0305217663447062";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 25428";"0.993055555555556";"0.9";"0.782608695652174";"2";"0.0310551325480143";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 25428";"0.993055555555556";"0.92";"0.833333333333333";"3";"0.030471400419871";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 25428";"0.986111111111111";"0.86";"0.666666666666667";"4";"0.0301715016365051";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 25428";"0.993055555555556";"0.96";"0.923076923076923";"5";"0.0365089654922485";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"239 x 16892";"0.993865030674847";"0.966101694915254";"0.941176470588235";"1";"0.0273025155067444";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 16892";"1";"0.983333333333333";"0.972972972972973";"2";"0.031555183728536";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"239 x 16892";"1";"0.966101694915254";"0.944444444444444";"3";"0.026185401280721";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 16892";"1";"0.966666666666667";"0.944444444444444";"4";"0.0260849833488464";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 16892";"0.993865030674847";"0.866666666666667";"0.733333333333333";"5";"0.0263852000236511";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 17802";"1";"1";"1";"1";"0.037542998790741";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 17802";"1";"1";"1";"2";"0.042529567082723";"clin_1__cnv_0.0125__rna_0.75__mirna_0.025__mutation_0.025";"12345"
