"Data";"Block";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"clin";"248 x 4";"0.824468085106383";"0.709677419354839";"0.25";"1";"0.00318558613459269";"0.005";"123456"
"BLCA";"clin";"248 x 4";"0.792553191489362";"0.67741935483871";"0.166666666666667";"2";"0.00291871627171834";"0.005";"123456"
"BLCA";"clin";"248 x 4";"0.803191489361702";"0.596774193548387";"0.0740740740740741";"3";"0.00300210316975911";"0.005";"123456"
"BLCA";"clin";"248 x 4";"0.840425531914894";"0.693548387096774";"0.344827586206897";"4";"0.00310221910476685";"0.005";"123456"
"BLCA";"clin";"248 x 4";"0.765957446808511";"0.725806451612903";"0.19047619047619";"5";"0.00296873648961385";"0.005";"123456"
"BLCA";"mirna";"248 x 5";"0.909574468085106";"0.709677419354839";"0.1";"1";"0.00336901346842448";"0.005";"123456"
"BLCA";"mirna";"248 x 5";"0.882978723404255";"0.758064516129032";"0.210526315789474";"2";"0.00346941550572713";"0.005";"123456"
"BLCA";"mirna";"248 x 5";"0.882978723404255";"0.693548387096774";"0.0952380952380952";"3";"0.00286829868952433";"0.005";"123456"
"BLCA";"mirna";"248 x 5";"0.909574468085106";"0.693548387096774";"0.173913043478261";"4";"0.00306880076726278";"0.005";"123456"
"BLCA";"mirna";"248 x 5";"0.893617021276596";"0.725806451612903";"0.105263157894737";"5";"0.00296874841054281";"0.005";"123456"
"BLCA";"mutation";"248 x 94";"0.893617021276596";"0.725806451612903";"0.19047619047619";"1";"0.00461991628011068";"0.005";"123456"
"BLCA";"mutation";"248 x 94";"0.882978723404255";"0.709677419354839";"0.1";"2";"0.00482003291447957";"0.005";"123456"
"BLCA";"mutation";"248 x 94";"0.882978723404255";"0.709677419354839";"0.181818181818182";"3";"0.00480338335037231";"0.005";"123456"
"BLCA";"mutation";"248 x 94";"0.867021276595745";"0.725806451612903";"0.19047619047619";"4";"0.00451983610788981";"0.005";"123456"
"BLCA";"mutation";"248 x 94";"0.867021276595745";"0.645161290322581";"0.153846153846154";"5";"0.00466993649800619";"0.005";"123456"
"BLCA";"cnv";"248 x 291";"0.984042553191489";"0.741935483870968";"0";"1";"0.00550386905670166";"0.005";"123456"
"BLCA";"cnv";"248 x 291";"0.98936170212766";"0.774193548387097";"0.125";"2";"0.00585413376490275";"0.005";"123456"
"BLCA";"cnv";"248 x 291";"1";"0.774193548387097";"0.222222222222222";"3";"0.00568735202153524";"0.005";"123456"
"BLCA";"cnv";"248 x 291";"0.99468085106383";"0.774193548387097";"0.125";"4";"0.00542044639587402";"0.005";"123456"
"BLCA";"cnv";"248 x 291";"0.978723404255319";"0.758064516129032";"0";"5";"0.0057707150777181";"0.005";"123456"
"BLCA";"rna";"248 x 116";"1";"0.758064516129032";"0";"1";"0.00415288209915161";"0.005";"123456"
"BLCA";"rna";"248 x 116";"0.98936170212766";"0.758064516129032";"0";"2";"0.00415290196736654";"0.005";"123456"
"BLCA";"rna";"248 x 116";"0.98936170212766";"0.758064516129032";"0";"3";"0.00393604834874471";"0.005";"123456"
"BLCA";"rna";"248 x 116";"0.99468085106383";"0.758064516129032";"0";"4";"0.004636549949646";"0.005";"123456"
"BLCA";"rna";"248 x 116";"0.99468085106383";"0.758064516129032";"0";"5";"0.00406951506932576";"0.005";"123456"
"COAD";"clin";"280 x 5";"0.568493150684932";"0.642857142857143";"0.59016393442623";"1";"0.00370228290557861";"0.005";"123456"
"COAD";"clin";"280 x 5";"0.527397260273973";"0.514285714285714";"0.5";"2";"0.00340240001678467";"0.005";"123456"
"COAD";"clin";"281 x 5";"0.598639455782313";"0.463768115942029";"0.327272727272727";"3";"0.00341904958089193";"0.005";"123456"
"COAD";"clin";"279 x 5";"0.561643835616438";"0.535211267605634";"0.492307692307692";"4";"0.0033690333366394";"0.005";"123456"
"COAD";"clin";"280 x 5";"0.54421768707483";"0.542857142857143";"0.529411764705882";"5";"0.00338570276896159";"0.005";"123456"
"COAD";"mirna";"280 x 5";"0.534246575342466";"0.542857142857143";"0.448275862068965";"1";"0.00368589957555135";"0.005";"123456"
"COAD";"mirna";"280 x 5";"0.568493150684932";"0.5";"0.444444444444444";"2";"0.00365246534347534";"0.005";"123456"
"COAD";"mirna";"281 x 5";"0.557823129251701";"0.449275362318841";"0.424242424242424";"3";"0.00343575080235799";"0.005";"123456"
"COAD";"mirna";"279 x 5";"0.534246575342466";"0.507042253521127";"0.363636363636364";"4";"0.00365256865819295";"0.005";"123456"
"COAD";"mirna";"280 x 5";"0.517006802721088";"0.442857142857143";"0.380952380952381";"5";"0.00360251665115356";"0.005";"123456"
"COAD";"mutation";"280 x 100";"0.60958904109589";"0.542857142857143";"0.384615384615385";"1";"0.00672136942545573";"0.005";"123456"
"COAD";"mutation";"280 x 100";"0.63013698630137";"0.457142857142857";"0.269230769230769";"2";"0.00685481627782186";"0.005";"123456"
"COAD";"mutation";"281 x 100";"0.428571428571429";"0.391304347826087";"0.275862068965517";"3";"0.00653793414433797";"0.005";"123456"
"COAD";"mutation";"279 x 100";"0.678082191780822";"0.492957746478873";"0.379310344827586";"4";"0.00593751668930054";"0.005";"123456"
"COAD";"mutation";"280 x 100";"0.374149659863946";"0.557142857142857";"0.474576271186441";"5";"0.00595418214797974";"0.005";"123456"
"COAD";"cnv";"280 x 291";"0.712328767123288";"0.714285714285714";"0.6875";"1";"0.00688826640446981";"0.005";"123456"
"COAD";"cnv";"280 x 291";"0.73972602739726";"0.642857142857143";"0.528301886792453";"2";"0.00647119681040446";"0.005";"123456"
"COAD";"cnv";"281 x 291";"0.748299319727891";"0.710144927536232";"0.67741935483871";"3";"0.00655456781387329";"0.005";"123456"
"COAD";"cnv";"279 x 291";"0.698630136986301";"0.605633802816901";"0.588235294117647";"4";"0.00632108052571615";"0.005";"123456"
"COAD";"cnv";"280 x 291";"0.73469387755102";"0.642857142857143";"0.626865671641791";"5";"0.00638780196507772";"0.005";"123456"
"COAD";"rna";"280 x 112";"0.60958904109589";"0.514285714285714";"0.413793103448276";"1";"0.00532039801279704";"0.005";"123456"
"COAD";"rna";"280 x 112";"0.589041095890411";"0.485714285714286";"0.4375";"2";"0.00480336348215739";"0.005";"123456"
"COAD";"rna";"281 x 112";"0.666666666666667";"0.507246376811594";"0.32";"3";"0.00517028570175171";"0.005";"123456"
"COAD";"rna";"279 x 112";"0.589041095890411";"0.492957746478873";"0.4";"4";"0.00528703133265177";"0.005";"123456"
"COAD";"rna";"280 x 112";"0.591836734693878";"0.5";"0.444444444444444";"5";"0.00535374879837036";"0.005";"123456"
"ESCA";"clin";"97 x 4";"0.987654320987654";"0.833333333333333";"0";"1";"0.00126755237579346";"0.005";"123456"
"ESCA";"clin";"97 x 4";"0.975308641975309";"0.666666666666667";"0.2";"2";"0.00118414958318075";"0.005";"123456"
"ESCA";"clin";"96 x 4";"0.975";"0.84";"0";"3";"0.00123421748479207";"0.005";"123456"
"ESCA";"clin";"97 x 4";"1";"0.833333333333333";"0";"4";"0.00126754840215047";"0.005";"123456"
"ESCA";"clin";"97 x 4";"1";"0.833333333333333";"0";"5";"0.00121753215789795";"0.005";"123456"
"ESCA";"mirna";"97 x 5";"0.975308641975309";"0.833333333333333";"0";"1";"0.0012842337290446";"0.005";"123456"
"ESCA";"mirna";"97 x 5";"0.975308641975309";"0.833333333333333";"0";"2";"0.00138430198033651";"0.005";"123456"
"ESCA";"mirna";"96 x 5";"0.975";"0.84";"0";"3";"0.00136760075887044";"0.005";"123456"
"ESCA";"mirna";"97 x 5";"0.962962962962963";"0.791666666666667";"0.285714285714286";"4";"0.00120085080464681";"0.005";"123456"
"ESCA";"mirna";"97 x 5";"0.950617283950617";"0.833333333333333";"0";"5";"0.00126763582229614";"0.005";"123456"
"ESCA";"mutation";"97 x 77";"1";"0.833333333333333";"0";"1";"0.00173453489939372";"0.005";"123456"
"ESCA";"mutation";"97 x 77";"0.950617283950617";"0.791666666666667";"0";"2";"0.00208479960759481";"0.005";"123456"
"ESCA";"mutation";"96 x 77";"0.9625";"0.8";"0";"3";"0.00156771739323934";"0.005";"123456"
"ESCA";"mutation";"97 x 77";"0.962962962962963";"0.75";"0";"4";"0.00200140078862508";"0.005";"123456"
"ESCA";"mutation";"97 x 77";"0.987654320987654";"0.833333333333333";"0";"5";"0.00150108337402344";"0.005";"123456"
"ESCA";"cnv";"97 x 291";"1";"0.833333333333333";"0";"1";"0.00191804965337118";"0.005";"123456"
"ESCA";"cnv";"97 x 291";"1";"0.833333333333333";"0";"2";"0.00206816991170247";"0.005";"123456"
"ESCA";"cnv";"96 x 291";"0.9875";"0.84";"0";"3";"0.00210146903991699";"0.005";"123456"
"ESCA";"cnv";"97 x 291";"1";"0.833333333333333";"0";"4";"0.00201778014500936";"0.005";"123456"
"ESCA";"cnv";"97 x 291";"1";"0.833333333333333";"0";"5";"0.00193470319112142";"0.005";"123456"
"ESCA";"rna";"97 x 128";"1";"0.833333333333333";"0";"1";"0.0014342983563741";"0.005";"123456"
"ESCA";"rna";"97 x 128";"1";"0.833333333333333";"0";"2";"0.00173453489939372";"0.005";"123456"
"ESCA";"rna";"96 x 128";"1";"0.88";"0.4";"3";"0.00156776507695516";"0.005";"123456"
"ESCA";"rna";"97 x 128";"1";"0.833333333333333";"0";"4";"0.00170120000839233";"0.005";"123456"
"ESCA";"rna";"97 x 128";"1";"0.833333333333333";"0";"5";"0.00150108337402344";"0.005";"123456"
"HNSC";"clin";"330 x 5";"0.851851851851852";"0.716049382716049";"0.206896551724138";"1";"0.00403648217519124";"0.005";"123456"
"HNSC";"clin";"329 x 5";"0.880165289256198";"0.670731707317073";"0.129032258064516";"2";"0.00390274922053019";"0.005";"123456"
"HNSC";"clin";"329 x 5";"0.8559670781893";"0.670731707317073";"0.181818181818182";"3";"0.00403616428375244";"0.005";"123456"
"HNSC";"clin";"328 x 5";"0.838842975206612";"0.662650602409639";"0.3";"4";"0.00375261704126994";"0.005";"123456"
"HNSC";"clin";"328 x 5";"0.855371900826446";"0.771084337349398";"0.457142857142857";"5";"0.00376931428909302";"0.005";"123456"
"HNSC";"mirna";"330 x 5";"0.921810699588477";"0.691358024691358";"0.137931034482759";"1";"0.00421958367029826";"0.005";"123456"
"HNSC";"mirna";"329 x 5";"0.867768595041322";"0.670731707317073";"0.129032258064516";"2";"0.00400279760360718";"0.005";"123456"
"HNSC";"mirna";"329 x 5";"0.901234567901235";"0.658536585365854";"0.176470588235294";"3";"0.00433638493220011";"0.005";"123456"
"HNSC";"mirna";"328 x 5";"0.859504132231405";"0.63855421686747";"0";"4";"0.00411955118179321";"0.005";"123456"
"HNSC";"mirna";"328 x 5";"0.87603305785124";"0.63855421686747";"0.0625";"5";"0.00420295000076294";"0.005";"123456"
"HNSC";"mutation";"330 x 90";"0.897119341563786";"0.666666666666667";"0.129032258064516";"1";"0.00730513334274292";"0.005";"123456"
"HNSC";"mutation";"329 x 90";"0.900826446280992";"0.707317073170732";"0.0769230769230769";"2";"0.00670471588770548";"0.005";"123456"
"HNSC";"mutation";"329 x 90";"0.91358024691358";"0.670731707317073";"0.129032258064516";"3";"0.00690483252207438";"0.005";"123456"
"HNSC";"mutation";"328 x 90";"0.909090909090909";"0.698795180722892";"0.242424242424242";"4";"0.00725508133570353";"0.005";"123456"
"HNSC";"mutation";"328 x 90";"0.87603305785124";"0.710843373493976";"0.142857142857143";"5";"0.00718836784362793";"0.005";"123456"
"HNSC";"cnv";"330 x 291";"0.983539094650206";"0.728395061728395";"0.0833333333333333";"1";"0.00743854840596517";"0.005";"123456"
"HNSC";"cnv";"329 x 291";"0.975206611570248";"0.768292682926829";"0.173913043478261";"2";"0.00742188294728597";"0.005";"123456"
"HNSC";"cnv";"329 x 291";"0.987654320987654";"0.74390243902439";"0.0869565217391304";"3";"0.00773905118306478";"0.005";"123456"
"HNSC";"cnv";"328 x 291";"0.971074380165289";"0.746987951807229";"0.16";"4";"0.00715498526891073";"0.005";"123456"
"HNSC";"cnv";"328 x 291";"0.991735537190083";"0.746987951807229";"0.0869565217391304";"5";"0.00752193133036296";"0.005";"123456"
