"Data";"Block";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"clin";"248 x 4";"0.824468085106383";"0.709677419354839";"0.25";"1";"0.00306881666183472";"0.05";"12345"
"BLCA";"clin";"248 x 4";"0.792553191489362";"0.67741935483871";"0.166666666666667";"2";"0.00710500081380208";"0.05";"12345"
"BLCA";"clin";"248 x 4";"0.803191489361702";"0.596774193548387";"0.0740740740740741";"3";"0.00305211941401164";"0.05";"12345"
"BLCA";"clin";"248 x 4";"0.840425531914894";"0.693548387096774";"0.344827586206897";"4";"0.00303551355997721";"0.05";"12345"
"BLCA";"clin";"248 x 4";"0.771276595744681";"0.725806451612903";"0.19047619047619";"5";"0.00305215120315552";"0.05";"12345"
"BLCA";"mirna";"248 x 42";"0.98936170212766";"0.758064516129032";"0";"1";"0.00365256865819295";"0.05";"12345"
"BLCA";"mirna";"248 x 42";"1";"0.758064516129032";"0";"2";"0.0040861169497172";"0.05";"12345"
"BLCA";"mirna";"248 x 42";"0.978723404255319";"0.741935483870968";"0";"3";"0.00376931428909302";"0.05";"12345"
"BLCA";"mirna";"248 x 42";"0.98936170212766";"0.774193548387097";"0.125";"4";"0.00366926590601603";"0.05";"12345"
"BLCA";"mirna";"248 x 42";"0.99468085106383";"0.758064516129032";"0";"5";"0.00370261669158936";"0.05";"12345"
"BLCA";"mutation";"248 x 933";"0.797872340425532";"0.612903225806452";"0.0769230769230769";"1";"0.0111077825228373";"0.05";"12345"
"BLCA";"mutation";"248 x 933";"0.872340425531915";"0.725806451612903";"0.32";"2";"0.0100570678710938";"0.05";"12345"
"BLCA";"mutation";"248 x 933";"0.813829787234043";"0.709677419354839";"0.357142857142857";"3";"0.0103406031926473";"0.05";"12345"
"BLCA";"mutation";"248 x 933";"0.936170212765957";"0.67741935483871";"0";"4";"0.00987363258997599";"0.05";"12345"
"BLCA";"mutation";"248 x 933";"0.73936170212766";"0.645161290322581";"0.153846153846154";"5";"0.0103573163350423";"0.05";"12345"
"BLCA";"cnv";"248 x 2899";"0.984042553191489";"1";"1";"1";"0.00742188294728597";"0.05";"12345"
"BLCA";"cnv";"248 x 2899";"0.984042553191489";"1";"1";"2";"0.00675473213195801";"0.05";"12345"
"BLCA";"cnv";"248 x 2899";"0.978723404255319";"0.983870967741935";"0.967741935483871";"3";"0.00755531787872314";"0.05";"12345"
"BLCA";"cnv";"248 x 2899";"0.98936170212766";"0.983870967741935";"0.967741935483871";"4";"0.00713836749394735";"0.05";"12345"
"BLCA";"cnv";"248 x 2899";"0.984042553191489";"0.983870967741935";"0.967741935483871";"5";"0.00683814684549967";"0.05";"12345"
"BLCA";"rna";"248 x 1155";"1";"0.790322580645161";"0.235294117647059";"1";"0.00793891350428263";"0.05";"12345"
"BLCA";"rna";"248 x 1155";"1";"0.790322580645161";"0.235294117647059";"2";"0.00703826347986857";"0.05";"12345"
"BLCA";"rna";"248 x 1155";"1";"0.790322580645161";"0.235294117647059";"3";"0.00705496867497762";"0.05";"12345"
"BLCA";"rna";"248 x 1155";"1";"0.82258064516129";"0.421052631578947";"4";"0.00722173452377319";"0.05";"12345"
"BLCA";"rna";"248 x 1155";"1";"0.806451612903226";"0.333333333333333";"5";"0.0072384516398112";"0.05";"12345"
"COAD";"clin";"280 x 5";"0.568493150684932";"0.642857142857143";"0.59016393442623";"1";"0.00358583132425944";"0.05";"12345"
"COAD";"clin";"280 x 5";"0.527397260273973";"0.514285714285714";"0.5";"2";"0.00325228373209635";"0.05";"12345"
"COAD";"clin";"281 x 5";"0.598639455782313";"0.463768115942029";"0.327272727272727";"3";"0.00345241626103719";"0.05";"12345"
"COAD";"clin";"279 x 5";"0.561643835616438";"0.535211267605634";"0.492307692307692";"4";"0.00348576704661051";"0.05";"12345"
"COAD";"clin";"280 x 5";"0.54421768707483";"0.542857142857143";"0.529411764705882";"5";"0.00341906547546387";"0.05";"12345"
"COAD";"mirna";"280 x 41";"0.616438356164384";"0.5";"0.444444444444444";"1";"0.00418630043665568";"0.05";"12345"
"COAD";"mirna";"280 x 41";"0.541095890410959";"0.5";"0.444444444444444";"2";"0.00428634881973267";"0.05";"12345"
"COAD";"mirna";"281 x 41";"0.523809523809524";"0.492753623188406";"0.339622641509434";"3";"0.00416959921518962";"0.05";"12345"
"COAD";"mirna";"279 x 41";"0.636986301369863";"0.47887323943662";"0.412698412698413";"4";"0.00400278568267822";"0.05";"12345"
"COAD";"mirna";"280 x 41";"0.517006802721088";"0.471428571428571";"0.447761194029851";"5";"0.00436974763870239";"0.05";"12345"
