"Data";"Block";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"clin";"248 x 4";"0.824468085106383";"0.709677419354839";"0.25";"1";"0.00280201435089111";"0.05";"1234"
"BLCA";"clin";"248 x 4";"0.792553191489362";"0.67741935483871";"0.166666666666667";"2";"0.00303546587626139";"0.05";"1234"
"BLCA";"clin";"248 x 4";"0.803191489361702";"0.596774193548387";"0.0740740740740741";"3";"0.00306883255640666";"0.05";"1234"
"BLCA";"clin";"248 x 4";"0.840425531914894";"0.693548387096774";"0.344827586206897";"4";"0.00293540159861247";"0.05";"1234"
"BLCA";"clin";"248 x 4";"0.765957446808511";"0.725806451612903";"0.19047619047619";"5";"0.00311883290608724";"0.05";"1234"
"BLCA";"mirna";"248 x 42";"0.99468085106383";"0.758064516129032";"0";"1";"0.00396943092346191";"0.05";"1234"
"BLCA";"mirna";"248 x 42";"1";"0.758064516129032";"0";"2";"0.00370259682337443";"0.05";"1234"
"BLCA";"mirna";"248 x 42";"0.99468085106383";"0.774193548387097";"0.125";"3";"0.00386938651402791";"0.05";"1234"
"BLCA";"mirna";"248 x 42";"0.99468085106383";"0.758064516129032";"0";"4";"0.00450318654378255";"0.05";"1234"
"BLCA";"mirna";"248 x 42";"0.98936170212766";"0.741935483870968";"0";"5";"0.00380266507466634";"0.05";"1234"
"BLCA";"mutation";"248 x 933";"0.76063829787234";"0.596774193548387";"0.137931034482759";"1";"0.011758283774058";"0.05";"1234"
"BLCA";"mutation";"248 x 933";"0.872340425531915";"0.629032258064516";"0.148148148148148";"2";"0.0120251695315043";"0.05";"1234"
"BLCA";"mutation";"248 x 933";"0.819148936170213";"0.596774193548387";"0.0740740740740741";"3";"0.0108576496442159";"0.05";"1234"
"BLCA";"mutation";"248 x 933";"0.845744680851064";"0.693548387096774";"0.296296296296296";"4";"0.0108242829640706";"0.05";"1234"
"BLCA";"mutation";"248 x 933";"0.76063829787234";"0.709677419354839";"0.307692307692308";"5";"0.0116748849550883";"0.05";"1234"
"BLCA";"cnv";"248 x 2899";"0.978723404255319";"1";"1";"1";"0.00767205158869425";"0.05";"1234"
"BLCA";"cnv";"248 x 2899";"0.978723404255319";"1";"1";"2";"0.00730513334274292";"0.05";"1234"
"BLCA";"cnv";"248 x 2899";"0.978723404255319";"0.983870967741935";"0.967741935483871";"3";"0.00763868093490601";"0.05";"1234"
"BLCA";"cnv";"248 x 2899";"0.978723404255319";"0.983870967741935";"0.967741935483871";"4";"0.00840588410695394";"0.05";"1234"
"BLCA";"cnv";"248 x 2899";"0.978723404255319";"0.983870967741935";"0.967741935483871";"5";"0.00690484841664632";"0.05";"1234"
"BLCA";"rna";"248 x 1155";"0.99468085106383";"0.758064516129032";"0";"1";"0.00833920240402222";"0.05";"1234"
"BLCA";"rna";"248 x 1155";"1";"0.758064516129032";"0";"2";"0.00757201910018921";"0.05";"1234"
"BLCA";"rna";"248 x 1155";"1";"0.758064516129032";"0";"3";"0.00820579926172892";"0.05";"1234"
"BLCA";"rna";"248 x 1155";"1";"0.758064516129032";"0";"4";"0.00778881708780925";"0.05";"1234"
"BLCA";"rna";"248 x 1155";"0.99468085106383";"0.758064516129032";"0";"5";"0.00790555079778035";"0.05";"1234"
"COAD";"clin";"280 x 5";"0.568493150684932";"0.642857142857143";"0.59016393442623";"1";"0.00403615236282349";"0.05";"1234"
"COAD";"clin";"280 x 5";"0.527397260273973";"0.514285714285714";"0.5";"2";"0.00351913372675578";"0.05";"1234"
"COAD";"clin";"281 x 5";"0.598639455782313";"0.463768115942029";"0.327272727272727";"3";"0.00351913372675578";"0.05";"1234"
"COAD";"clin";"279 x 5";"0.561643835616438";"0.535211267605634";"0.492307692307692";"4";"0.00336901744206746";"0.05";"1234"
"COAD";"clin";"280 x 5";"0.54421768707483";"0.542857142857143";"0.529411764705882";"5";"0.00350266695022583";"0.05";"1234"
"COAD";"mirna";"280 x 41";"0.575342465753425";"0.442857142857143";"0.417910447761194";"1";"0.00438641707102458";"0.05";"1234"
"COAD";"mirna";"280 x 41";"0.589041095890411";"0.485714285714286";"0.357142857142857";"2";"0.00418628454208374";"0.05";"1234"
"COAD";"mirna";"281 x 41";"0.54421768707483";"0.478260869565217";"0.379310344827586";"3";"0.0044197678565979";"0.05";"1234"
"COAD";"mirna";"279 x 41";"0.616438356164384";"0.47887323943662";"0.372881355932203";"4";"0.00435306628545125";"0.05";"1234"
"COAD";"mirna";"280 x 41";"0.557823129251701";"0.6";"0.481481481481482";"5";"0.00461991628011068";"0.05";"1234"
"COAD";"mutation";"280 x 990";"0.712328767123288";"0.5";"0.444444444444444";"1";"0.0138264020284017";"0.05";"1234"
"COAD";"mutation";"280 x 990";"0.664383561643836";"0.628571428571429";"0.5";"2";"0.0131592154502869";"0.05";"1234"
"COAD";"mutation";"281 x 990";"0.680272108843537";"0.579710144927536";"0.452830188679245";"3";"0.012959098815918";"0.05";"1234"
"COAD";"mutation";"279 x 990";"0.664383561643836";"0.507042253521127";"0.385964912280702";"4";"0.0122418999671936";"0.05";"1234"
"COAD";"mutation";"280 x 990";"0.72108843537415";"0.5";"0.385964912280702";"5";"0.0126255512237549";"0.05";"1234"
"COAD";"cnv";"280 x 2899";"0.972602739726027";"0.971428571428571";"0.970588235294118";"1";"0.00827248493830363";"0.05";"1234"
"COAD";"cnv";"280 x 2899";"0.972602739726027";"0.985714285714286";"0.985074626865672";"2";"0.00833918650945028";"0.05";"1234"
"COAD";"cnv";"281 x 2899";"0.972789115646258";"0.985507246376812";"0.985074626865672";"3";"0.00805568297704061";"0.05";"1234"
"COAD";"cnv";"279 x 2899";"0.965753424657534";"1";"1";"4";"0.00810566345850627";"0.05";"1234"
"COAD";"cnv";"280 x 2899";"0.972789115646258";"0.985714285714286";"0.985507246376812";"5";"0.0086064338684082";"0.05";"1234"
"COAD";"rna";"280 x 1111";"0.849315068493151";"0.785714285714286";"0.727272727272727";"1";"0.0106074690818787";"0.05";"1234"
"COAD";"rna";"280 x 1111";"0.876712328767123";"0.9";"0.892307692307692";"2";"0.0105073650677999";"0.05";"1234"
"COAD";"rna";"281 x 1111";"0.91156462585034";"0.826086956521739";"0.785714285714286";"3";"0.00922313531239827";"0.05";"1234"
"COAD";"rna";"279 x 1111";"0.856164383561644";"0.746478873239437";"0.7";"4";"0.00893963575363159";"0.05";"1234"
"COAD";"rna";"280 x 1111";"0.843537414965986";"0.785714285714286";"0.761904761904762";"5";"0.00927335023880005";"0.05";"1234"
"ESCA";"clin";"97 x 4";"0.987654320987654";"0.833333333333333";"0";"1";"0.00126751661300659";"0.05";"1234"
"ESCA";"clin";"97 x 4";"0.975308641975309";"0.666666666666667";"0.2";"2";"0.00130093495051066";"0.05";"1234"
"ESCA";"clin";"96 x 4";"0.975";"0.84";"0";"3";"0.00118418137232463";"0.05";"1234"
"ESCA";"clin";"97 x 4";"1";"0.833333333333333";"0";"4";"0.00136760075887044";"0.05";"1234"
"ESCA";"clin";"97 x 4";"1";"0.833333333333333";"0";"5";"0.0013342022895813";"0.05";"1234"
"ESCA";"mirna";"97 x 39";"0.987654320987654";"0.833333333333333";"0";"1";"0.00135093530019124";"0.05";"1234"
"ESCA";"mirna";"97 x 39";"0.975308641975309";"0.833333333333333";"0";"2";"0.00151770114898682";"0.05";"1234"
"ESCA";"mirna";"96 x 39";"1";"0.84";"0";"3";"0.00143436988194784";"0.05";"1234"
"ESCA";"mirna";"97 x 39";"1";"0.791666666666667";"0";"4";"0.00143430233001709";"0.05";"1234"
"ESCA";"mirna";"97 x 39";"0.987654320987654";"0.833333333333333";"0";"5";"0.00155109961827596";"0.05";"1234"
"ESCA";"mutation";"97 x 759";"0.962962962962963";"0.791666666666667";"0";"1";"0.0041862686475118";"0.05";"1234"
"ESCA";"mutation";"97 x 759";"0.987654320987654";"0.833333333333333";"0";"2";"0.0040194829305013";"0.05";"1234"
"ESCA";"mutation";"96 x 759";"0.9625";"0.84";"0";"3";"0.00301876862843831";"0.05";"1234"
"ESCA";"mutation";"97 x 759";"0.975308641975309";"0.833333333333333";"0";"4";"0.00310218334197998";"0.05";"1234"
"ESCA";"mutation";"97 x 759";"0.987654320987654";"0.833333333333333";"0";"5";"0.00268523295720418";"0.05";"1234"
"ESCA";"cnv";"97 x 2899";"1";"0.875";"0.4";"1";"0.00510358413060506";"0.05";"1234"
"ESCA";"cnv";"97 x 2899";"1";"0.875";"0.4";"2";"0.00416959921518962";"0.05";"1234"
"ESCA";"cnv";"96 x 2899";"1";"0.96";"0.857142857142857";"3";"0.00451985200246175";"0.05";"1234"
"ESCA";"cnv";"97 x 2899";"1";"0.875";"0.4";"4";"0.00435308218002319";"0.05";"1234"
"ESCA";"cnv";"97 x 2899";"1";"0.916666666666667";"0.666666666666667";"5";"0.00415293375651042";"0.05";"1234"
"ESCA";"rna";"97 x 1276";"1";"0.833333333333333";"0";"1";"0.0043697198232015";"0.05";"1234"
"ESCA";"rna";"97 x 1276";"1";"0.833333333333333";"0";"2";"0.00343575080235799";"0.05";"1234"
"ESCA";"rna";"96 x 1276";"1";"0.84";"0";"3";"0.0037359356880188";"0.05";"1234"
"ESCA";"rna";"97 x 1276";"1";"0.833333333333333";"0";"4";"0.0037526806195577";"0.05";"1234"
"ESCA";"rna";"97 x 1276";"1";"0.833333333333333";"0";"5";"0.00323560237884521";"0.05";"1234"
"HNSC";"clin";"330 x 5";"0.851851851851852";"0.716049382716049";"0.206896551724138";"1";"0.00418624877929688";"0.05";"1234"
"HNSC";"clin";"329 x 5";"0.880165289256198";"0.670731707317073";"0.129032258064516";"2";"0.00408620039621989";"0.05";"1234"
"HNSC";"clin";"329 x 5";"0.8559670781893";"0.670731707317073";"0.181818181818182";"3";"0.00376929839452108";"0.05";"1234"
"HNSC";"clin";"328 x 5";"0.838842975206612";"0.662650602409639";"0.3";"4";"0.00386948585510254";"0.05";"1234"
"HNSC";"clin";"328 x 5";"0.855371900826446";"0.771084337349398";"0.457142857142857";"5";"0.004636549949646";"0.05";"1234"
"HNSC";"mirna";"330 x 41";"0.967078189300412";"0.753086419753086";"0.0909090909090909";"1";"0.00493680238723755";"0.05";"1234"
"HNSC";"mirna";"329 x 41";"0.979338842975207";"0.74390243902439";"0";"2";"0.00495346387227376";"0.05";"1234"
"HNSC";"mirna";"329 x 41";"0.983539094650206";"0.74390243902439";"0.16";"3";"0.00478669802347819";"0.05";"1234"
"HNSC";"mirna";"328 x 41";"0.962809917355372";"0.698795180722892";"0";"4";"0.00505358378092448";"0.05";"1234"
"HNSC";"mirna";"328 x 41";"0.991735537190083";"0.710843373493976";"0";"5";"0.00477003653844198";"0.05";"1234"
"HNSC";"mutation";"330 x 893";"0.901234567901235";"0.765432098765432";"0.173913043478261";"1";"0.0181627829869588";"0.05";"1234"
"HNSC";"mutation";"329 x 893";"0.925619834710744";"0.670731707317073";"0.181818181818182";"2";"0.0158944845199585";"0.05";"1234"
"HNSC";"mutation";"329 x 893";"0.91358024691358";"0.609756097560976";"0.111111111111111";"3";"0.0176791350046794";"0.05";"1234"
"HNSC";"mutation";"328 x 893";"0.863636363636364";"0.746987951807229";"0.363636363636364";"4";"0.0174956480662028";"0.05";"1234"
"HNSC";"mutation";"328 x 893";"0.913223140495868";"0.710843373493976";"0.294117647058824";"5";"0.0171954313913981";"0.05";"1234"
"HNSC";"cnv";"330 x 2899";"0.979423868312757";"1";"1";"1";"0.00987359682718913";"0.05";"1234"
"HNSC";"cnv";"329 x 2899";"0.987603305785124";"0.939024390243902";"0.893617021276596";"2";"0.0090397318204244";"0.05";"1234"
"HNSC";"cnv";"329 x 2899";"0.979423868312757";"0.98780487804878";"0.977777777777778";"3";"0.00917308330535889";"0.05";"1234"
"HNSC";"cnv";"328 x 2899";"0.979338842975207";"0.987951807228916";"0.977777777777778";"4";"0.00888961950937907";"0.05";"1234"
"HNSC";"cnv";"328 x 2899";"0.979338842975207";"1";"1";"5";"0.00960676670074463";"0.05";"1234"
"HNSC";"rna";"330 x 1077";"0.987654320987654";"0.753086419753086";"0.0909090909090909";"1";"0.0103573004404704";"0.05";"1234"
"HNSC";"rna";"329 x 1077";"0.975206611570248";"0.75609756097561";"0.0909090909090909";"2";"0.011624817053477";"0.05";"1234"
"HNSC";"rna";"329 x 1077";"0.991769547325103";"0.74390243902439";"0.0869565217391304";"3";"0.0104406992594401";"0.05";"1234"
"HNSC";"rna";"328 x 1077";"0.979338842975207";"0.72289156626506";"0.08";"4";"0.010090434551239";"0.05";"1234"
