"Data";"Dim";"OOB";"Test";"Time"
"BLCA";"248 x 2815";"0.939616485972422";"0.983870967741935";"0.219339164098104"
"COAD";"280 x 2905";"0.861205307107037";"0.885714285714286";"0.275162533919017"
"ESCA";"97 x 2520";"0.837755306462903";"0.791666666666667";"0.0848106145858765"
"HNSC";"329 x 2692";"0.961041435914629";"0.975609756097561";"0.26819056669871"
"KIRC";"258 x 2139";"0.84378971365078";"0.859375";"0.161931832631429"
"KIRP";"199 x 2324";"0.951597151054737";"1";"0.127340583006541"
"LIHC";"238 x 2486";"0.918647998718624";"0.983333333333333";"0.173990253607432"
"LGG";"363 x 2251";"0.991126475860166";"0.989010989010989";"0.22247478167216"
"LUAD";"339 x 2860";"0.966819496235483";"0.976470588235294";"0.328283635775248"
"LUSC";"292 x 2852";"0.978803069530551";"1";"0.265521983305613"
"PAAD";"114 x 2199";"0.753061573975893";"0.785714285714286";"0.0738855679829915"
"SARC";"146 x 2188";"0.804823613701895";"0.891891891891892";"0.0957681139310201"
"SKCM";"211 x 2896";"0.855854425707571";"0.830188679245283";"0.211700483163198"
"STAD";"227 x 2935";"0.784980285098513";"0.666666666666667";"0.232715368270874"
