"Data";"Block";"Dim";"OOB";"Test";"Time"
"BLCA";"cnv";"248 x 726";"0.991163352690479";"0.967741935483871";"0.0469166318575541"
"COAD";"cnv";"280 x 726";"0.987947960827336";"0.985714285714286";"0.0554564356803894"
"ESCA";"cnv";"97 x 726";"0.840659824406946";"0.791666666666667";"0.0162449200948079"
"HNSC";"cnv";"329 x 726";"0.979844999697532";"0.98780487804878";"0.0720011830329895"
"KIRC";"cnv";"258 x 726";"0.991022063017755";"1";"0.050769050916036"
"KIRP";"cnv";"199 x 726";"0.98813606414636";"1";"0.0295543154080709"
"LIHC";"cnv";"238 x 726";"0.986103181152403";"0.95";"0.0440979679425557"
"LGG";"cnv";"363 x 726";"0.997164368357953";"0.989010989010989";"0.0690987666447957"
"LUAD";"cnv";"339 x 726";"0.994257254653365";"1";"0.0727020184199015"
"LUSC";"cnv";"292 x 726";"0.987393665895937";"1";"0.0488180637359619"
"PAAD";"cnv";"114 x 726";"0.971095206568634";"1";"0.0220823685328166"
"SARC";"cnv";"146 x 726";"0.957744222782566";"0.945945945945946";"0.0280032674471537"
"SKCM";"cnv";"211 x 726";"0.946455508750411";"0.981132075471698";"0.0457824349403381"
"STAD";"cnv";"227 x 726";"0.97867573983166";"0.982456140350877";"0.0419128020604451"
