"Data";"Block";"Dim";"OOB";"Test";"Time"
"BLCA";"cnv";"248 x 146";"0.990100506072545";"0.967741935483871";"0.00873951911926269"
"COAD";"cnv";"280 x 146";"0.984353991513022";"0.971428571428571";"0.0116749008496602"
"ESCA";"cnv";"97 x 146";"0.83874115368723";"0.791666666666667";"0.00416998465855916"
"HNSC";"cnv";"329 x 146";"0.71715297194221";"0.829268292682927";"0.0185968478520711"
"KIRC";"cnv";"258 x 146";"0.96531342538126";"1";"0.0122090180714925"
"KIRP";"cnv";"199 x 146";"0.932986526022191";"0.92";"0.00790565013885498"
"LIHC";"cnv";"238 x 146";"0.912028428694638";"0.95";"0.0106408476829529"
"LGG";"cnv";"363 x 146";"0.993974266903424";"0.989010989010989";"0.0137097477912903"
"LUAD";"cnv";"339 x 146";"0.996582723725296";"0.988235294117647";"0.0114417831103007"
"LUSC";"cnv";"292 x 146";"0.939897093901146";"0.972602739726027";"0.0131761153539022"
"PAAD";"cnv";"114 x 146";"0.937166645685343";"1";"0.00468706687291463"
"SARC";"cnv";"146 x 146";"0.945781059197191";"0.945945945945946";"0.00637149810791016"
"SKCM";"cnv";"211 x 146";"0.962636863031967";"0.981132075471698";"0.00923959811528524"
"STAD";"cnv";"227 x 146";"0.974138984822333";"0.982456140350877";"0.00934000015258789"
