"Data";"Block";"Dim";"OOB";"Test";"Time"
"BLCA";"cnv";"248 x 59";"0.979362404128177";"0.967741935483871";"0.00934000015258789"
"COAD";"cnv";"280 x 59";"0.981824320494486";"0.971428571428571";"0.00620476404825846"
"ESCA";"cnv";"97 x 59";"0.839759971274722";"0.791666666666667";"0.00191773573557536"
"HNSC";"cnv";"329 x 59";"0.887743121038054";"1";"0.00762216647466024"
"KIRC";"cnv";"258 x 59";"0.702178559728204";"0.796875";"0.0064212163289388"
"KIRP";"cnv";"199 x 59";"0.699843579921275";"0.76";"0.00418631633122762"
"LIHC";"cnv";"238 x 59";"0.672652059702076";"0.716666666666667";"0.00633796453475952"
"LGG";"cnv";"363 x 59";"0.598164189098941";"0.659340659340659";"0.00995748440424601"
"LUAD";"cnv";"339 x 59";"0.622666588801047";"0.529411764705882";"0.00912323395411174"
"LUSC";"cnv";"292 x 59";"0.698465820795923";"0.767123287671233";"0.00747205018997192"
"PAAD";"cnv";"114 x 59";"0.500294788708865";"0.535714285714286";"0.00271863142649333"
"SARC";"cnv";"146 x 59";"0.55102007369456";"0.594594594594595";"0.0034028172492981"
"SKCM";"cnv";"211 x 59";"0.934351306788593";"0.943396226415094";"0.00440321763356527"
"STAD";"cnv";"227 x 59";"0.662037241815874";"0.578947368421053";"0.00575456619262695"
